-60,250,300,350,400
-40,-225,-175,-70,-30
-20,-140,-100,-15,20
0,-55,-20,45,70
20,30,55,100,120
40,100,115,140,150
60,150,150,150,150
80,110,110,110,110
100,70,70,70,70
