-60,250,300,350,400
-40,-260,-190,-125,-80
-20,-150,-95,-45,-10
0,-40,0,40,60
20,75,95,120,135
40,185,190,200,205
60,240,240,240,240
80,195,195,195,195
100,115,115,115,115
