26,120,125 ,130 ,135 ,140 ,145 ,150 ,155 ,160 ,165 ,170 ,175,180 ,185 ,190 ,195 ,200 ,205 ,210 ,215 ,220 ,225 
12,96,100 ,104 ,108 ,112 ,116 ,121 ,126 ,130 ,134 ,138 ,142,146 ,151 ,156 ,160 ,164 ,168 ,174 ,179 ,184 ,190 
9,87,91 ,64 ,67 ,100 ,105 ,109 ,113 ,117 ,121 ,125 ,130,134 ,138 ,142 ,146 ,150 ,154 ,158 ,164 ,170 ,174 
