44 ,47 ,51 ,54 ,58 ,62 ,66 ,71 ,75 ,81 ,85 ,98 
39 ,42 ,45 ,48 ,52 ,55 ,60 ,63 ,67 ,72 ,76 ,87 
36 ,39 ,42 ,45 ,49 ,53 ,56 ,60 ,64 ,69 ,73 ,82 
34 ,37 ,40 ,43 ,46 ,49 ,53 ,56 ,60 ,65 ,69 ,79 
32 ,35 ,37 ,41 ,43 ,47 ,50 ,53 ,57 ,62 ,65 ,75 
30 ,33 ,35 ,38 ,41 ,45 ,48 ,51 ,55 ,59 ,62 ,71 
29 ,31 ,34 ,37 ,39 ,43 ,46 ,49 ,52 ,56 ,60 ,68 
27 ,30 ,32 ,35 ,38 ,41 ,44 ,47 ,50 ,54 ,57 ,65 
26 ,28 ,31 ,33 ,36 ,39 ,42 ,45 ,48 ,52 ,55 ,63 
25 ,27 ,29 ,32 ,35 ,37 ,40 ,43 ,46 ,50 ,53 ,61 
24 ,26 ,28 ,31 ,33 ,36 ,39 ,42 ,45 ,48 ,52 ,59 
23 ,25 ,27 ,29 ,32 ,35 ,37 ,41 ,43 ,46 ,50 ,57 
22 ,23 ,26 ,29 ,31 ,33 ,36 ,39 ,42 ,45 ,49 ,56 
21 ,23 ,25 ,27 ,30 ,32 ,35 ,38 ,41 ,44 ,47 ,54 
20 ,22 ,24 ,26 ,29 ,31 ,34 ,37 ,39 ,43 ,46 ,52 
19 ,21 ,23 ,25 ,28 ,30 ,33 ,36 ,38 ,42 ,45 ,51 
19 ,20 ,23 ,25 ,27 ,29 ,32 ,35 ,37 ,41 ,44 ,50 
18 ,20 ,22 ,24 ,26 ,29 ,31 ,34 ,37 ,40 ,43 ,49 
18 ,19 ,21 ,23 ,26 ,28 ,31 ,33 ,36 ,39 ,42 ,48 
17 ,19 ,21 ,23 ,25 ,27 ,30 ,33 ,35 ,38 ,41 ,47 
17 ,19 ,21 ,23 ,24 ,26 ,29 ,32 ,34 ,37 ,40 ,47 
16 ,18 ,20 ,22 ,24 ,27 ,29 ,31 ,34 ,37 ,40 ,46 
15 ,18 ,20 ,22 ,24 ,26 ,28 ,31 ,34 ,36 ,39 ,46 
15 ,17 ,19 ,21 ,23 ,25 ,28 ,30 ,33 ,36 ,38 ,45 
15 ,17 ,19 ,21 ,23 ,25 ,27 ,30 ,33 ,35 ,38 ,44 
14 ,17 ,18 ,21 ,22 ,25 ,27 ,29 ,32 ,35 ,37 ,43 
14 ,16 ,18 ,20 ,22 ,24 ,26 ,28 ,31 ,33 ,36 ,42 
