0,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,6000
120,44,47,51,54,58,62,66,71,75,81,85,98
110,39,42,45,48,52,55,60,63,67,72,76,87
105,36,39,42,45,49,53,56,60,64,69,73,82
100,34,37,40,43,46,49,53,56,60,65,69,79
95,32,35,37,41,43,47,50,53,57,62,65,75
90,30,33,35,38,41,45,48,51,55,59,62,71
85,29,31,34,37,39,43,46,49,52,56,60,68
80,27,30,32,35,38,41,44,47,50,54,57,65
75,26,28,31,33,36,39,42,45,48,52,55,63
70,25,27,29,32,35,37,40,43,46,50,53,61
65,24,26,28,31,33,36,39,42,45,48,52,59
60,23,25,27,29,32,35,37,41,43,46,50,57
55,22,23,26,29,31,33,36,39,42,45,49,56
50,21,23,25,27,30,32,35,38,41,44,47,54
45,20,22,24,26,29,31,34,37,39,43,46,52
40,19,21,23,25,28,30,33,36,38,42,45,51
35,19,20,23,25,27,29,32,35,37,41,44,50
30,18,20,22,24,26,29,31,34,37,40,43,49
25,18,19,21,23,26,28,31,33,36,39,42,48
20,17,19,21,23,25,27,30,33,35,38,41,47
15,17,19,21,23,24,26,29,32,34,37,40,47
10,16,18,20,22,24,27,29,31,34,37,40,46
5,15,18,20,22,24,26,28,31,34,36,39,46
0,15,17,19,21,23,25,28,30,33,36,38,45
-5,15,17,19,21,23,25,27,30,33,35,38,44
-10,14,17,18,21,22,25,27,29,32,35,37,43
-20,14,16,18,20,22,24,26,28,31,33,36,42
